obj_index,sn_lens_idx,sn_source_idx,Lens name,zl,zs,thetaE,thetaeff,thetaap,sigma_ap,dsigma_ap,delta,Survey name,sn_lens_MUERR,sn_lens_Index,sn_lens_original_index,sn_lens_MU,sn_lens_zHD,sn_source_MUERR,sn_source_Index,sn_source_original_index,sn_source_MU,sn_source_zHD
86,198,705,SDSSJ1433+2835,0.0912,0.4115,1.53,3.23,1.5,230,6,2.1494,S4TM,0.1619,198,198,38.06308,0.08704,0.2001,705,705,41.71383,0.40746
87,212,1597,SDSSJ1541+3642,0.1406,0.7389,1.17,1.55,1.5,194,11,2.1638,S4TM,0.1576,212,212,39.46035,0.14631,0.1771,1597,1597,43.13384,0.7286
88,328,638,SDSSJ1543+2202,0.2681,0.3966,0.78,2.32,1.5,285,16,2.0794,S4TM,0.7274,328,328,40.86697,0.26103,0.1261,638,638,41.57089,0.37942
90,220,1100,SDSSJ1553+3004,0.1604,0.5663,0.84,2.15,1.5,194,15,2.2283,S4TM,0.1743,220,220,39.23567,0.15459,0.1992,1100,1100,42.80686,0.54806
91,265,952,SDSSJ1607+2147,0.2089,0.4865,0.57,2.63,1.5,197,16,2.2568,S4TM,0.1106,265,265,40.10356,0.21883,0.2498,952,952,42.33984,0.4965
93,411,1785,SDSSJ2309-0039,0.2905,1.0048,1.14,2.08,1.5,184,13,2.1382,S4TM,0.1841,411,411,41.1145,0.30477,0.2108,1785,1785,43.77582,0.94444
94,231,334,SDSSJ2324+0105,0.1899,0.2775,0.59,1.1,1.5,245,15,2.2404,S4TM,0.0953,231,231,39.78048,0.18383,0.2072,334,334,40.9081,0.26523
96,904,1803,SDSSJ1234-0241,0.49,1.016,0.53,1.05,1.0,122,31,2.3358,BELLS,0.1559,904,904,42.08767,0.47803,0.3059,1803,1803,44.24308,1.00009
97,790,1806,SDSSJ1352+3216,0.463,1.034,1.82,0.58,1.0,161,21,2.2328,BELLS,289.7856,790,790,42.79751,0.43941,0.178,1806,1806,44.16439,1.02144
100,761,1776,SDSSJ1349+3612,0.44,0.893,0.75,1.89,1.0,178,18,2.1269,BELLS,0.222,761,761,41.79286,0.43112,0.273,1776,1776,43.99813,0.91896
102,1081,1819,SDSSJ0944-0147,0.539,1.179,0.73,0.48,1.0,204,34,2.2784,BELLS,0.1945,1081,1081,42.4341,0.54203,0.1512,1819,1819,44.31733,1.14418
104,509,1790,SDSSJ1542+1629,0.352,1.023,1.04,0.73,1.0,210,16,2.2268,BELLS,0.177,509,509,41.3674,0.33784,0.212,1790,1790,44.11193,0.96296
106,1183,1818,SDSSJ1337+3620,0.564,1.182,1.39,2.03,1.0,225,35,2.12,BELLS,0.2163,1183,1183,42.73478,0.57093,0.1585,1818,1818,44.5271,1.13057
107,577,1786,SDSSJ2125+0411,0.363,0.978,1.2,0.9,1.0,247,17,2.2281,BELLS,0.1389,577,577,41.54725,0.35843,0.1978,1786,1786,43.72467,0.95299
111,654,1810,SDSSJ1631+1854,0.408,1.086,1.63,1.43,1.0,272,14,2.1707,BELLS,0.1662,654,654,41.59525,0.3862,0.1421,1810,1810,44.28814,1.03222
112,789,1787,SDSSJ2303+0037,0.458,0.936,1.02,1.35,1.0,274,31,2.1499,BELLS,0.2069,789,789,42.06142,0.43868,0.2143,1787,1787,43.94157,0.95521
113,723,1759,SDSSJ0747+4448,0.437,0.897,0.61,0.92,1.0,281,52,2.2692,BELLS,0.1418,723,723,41.74141,0.42054,0.2923,1759,1759,43.87985,0.88189
115,731,1769,SDSSJ0747+5055,0.438,0.898,0.75,1.09,1.0,328,60,2.1697,BELLS,0.2309,731,731,42.10023,0.42267,0.1467,1769,1769,43.64144,0.89888
